estado,analfabetismo,rezago_social,grado_rezago_social,abandono_primaria,abandono_secundaria,abandono_media_superior,abandono_superior,escolaridad_promedio
Chiapas,13.7,2.644,Muy alto,0.7,3.3,8.1,3.4,8.0
Oaxaca,11.8,2.591,Muy alto,-2.1,4.1,10.1,12.0,8.4
Guerrero,12.5,2.45,Muy alto,0.8,2.8,10.9,14.0,8.6
Veracruz de Ignacio de la Llave,8.5,1.143,Muy alto,1.4,3.4,9.0,13.0,9.0
Puebla,7.0,0.744,Alto,1.1,3.0,7.6,7.8,9.4
Michoacán de Ocampo,7.0,0.53,Alto,1.7,7.0,14.6,12.4,8.9
Hidalgo,6.6,0.32,Alto,-0.1,2.2,11.5,7.9,9.6
San Luis Potosí,5.0,0.319,Alto,0.8,4.1,7.7,10.7,9.9
Campeche,5.9,0.245,Medio,0.9,4.7,7.9,12.3,9.8
Yucatán,6.0,0.152,Medio,-1.5,-0.9,8.7,6.2,9.9
Tabasco,5.1,0.076,Medio,0.8,1.7,7.7,7.6,9.8
Nayarit,4.5,0.044,Medio,0.1,2.5,12.2,7.4,10.0
Tlaxcala,3.3,-0.041,Medio,0.9,1.6,9.8,9.5,10.1
Durango,2.7,-0.046,Medio,1.1,3.7,13.3,10.0,10.0
Morelos,4.4,-0.127,Bajo,0.7,3.6,12.6,6.5,10.1
Guanajuato,5.3,-0.209,Bajo,0.6,1.7,11.8,6.7,9.3
México,2.9,-0.298,Bajo,1.3,2.0,7.9,9.0,10.3
Quintana Roo,3.1,-0.317,Bajo,0.0,-0.0,10.2,17.6,10.5
Baja California Sur,2.3,-0.317,Bajo,0.4,2.0,10.7,15.3,10.5
Zacatecas,3.8,-0.453,Bajo,0.7,4.2,10.6,14.8,9.5
Chihuahua,2.6,-0.518,Bajo,-0.4,1.0,15.1,9.5,10.2
Querétaro,3.5,-0.524,Bajo,-0.1,0.7,12.4,4.7,10.9
Sinaloa,3.6,-0.568,Bajo,-0.0,2.7,14.6,17.4,10.5
Jalisco,2.9,-0.617,Bajo,-0.3,1.3,0.5,2.7,10.2
Tamaulipas,2.6,-0.623,Bajo,0.1,1.7,11.0,10.1,10.3
Baja California,1.8,-0.642,Bajo,-0.5,1.6,9.2,4.6,10.4
Sonora,2.0,-0.651,Bajo,0.2,0.7,11.3,13.4,10.6
Colima,3.4,-0.691,Bajo,-0.4,2.5,8.9,14.1,10.3
Aguascalientes,2.1,-1.102,Muy bajo,0.6,2.1,9.3,4.7,10.6
Ciudad de México,1.4,-1.115,Muy bajo,-0.2,1.6,8.6,7.5,11.6
Coahuila de Zaragoza,1.7,-1.148,Muy bajo,-0.2,1.5,12.4,10.4,10.6
Nuevo León,1.5,-1.255,Muy bajo,-0.1,0.9,7.6,0.5,10.9
